x,z
-567.119672,-6891.994037
-567.146137,-6892.993686
-567.169078,-6893.993422
-567.188494,-6894.993233
-567.204385,-6895.993106
-567.216750,-6896.993029
-567.225589,-6897.992990
-567.230903,-6898.992975
-567.232691,-6899.992973
-567.230953,-6900.992971
-567.225689,-6901.992957
-567.216899,-6902.992918
-567.204583,-6903.992841
-567.188742,-6904.992715
-567.169376,-6905.992527
-567.146484,-6906.992265
-567.120068,-6907.991915
-567.090127,-6908.991466
-567.056662,-6909.990906
-567.019674,-6910.990221
-566.979162,-6911.989399
-566.935127,-6912.988429
-566.887570,-6913.987297
-566.836492,-6914.985991
-566.781893,-6915.984499
-566.723773,-6916.982808
-566.662134,-6917.980906
-566.596976,-6918.978780
-566.528300,-6919.976419
-566.456107,-6920.973809
-566.380398,-6921.970938
-566.301173,-6922.967795
-566.218434,-6923.964365
-566.132182,-6924.960638
-566.042418,-6925.956601
-565.949142,-6926.952241
-565.852357,-6927.947545
-565.752063,-6928.942503
-565.648261,-6929.937100
-565.540953,-6930.931325
-565.430141,-6931.925166
-565.315824,-6932.918610
-565.198006,-6933.911645
-565.076687,-6934.904258
-564.951870,-6935.896437
-564.823554,-6936.888170
-564.691743,-6937.879444
-564.556437,-6938.870248
-564.417639,-6939.860568
-564.275350,-6940.850392
-564.129572,-6941.839709
-563.980306,-6942.828506
-563.827555,-6943.816770
-563.671321,-6944.804489
-563.511604,-6945.791652
-563.348409,-6946.778245
-563.181735,-6947.764257
-563.011586,-6948.749675
-562.837964,-6949.734486
-562.660870,-6950.718680
-562.480308,-6951.702243
-562.296278,-6952.685163
-562.108784,-6953.667428
-561.917828,-6954.649026
-561.723412,-6955.629945
-561.525539,-6956.610172
-561.324211,-6957.589695
-561.119430,-6958.568503
-560.911199,-6959.546582
-560.699521,-6960.523921
-560.484399,-6961.500507
-560.265834,-6962.476329
-560.043830,-6963.451375
-559.818390,-6964.425631
-559.589516,-6965.399086
-559.357211,-6966.371729
-559.121478,-6967.343546
-558.882320,-6968.314526
-558.639740,-6969.284657
-558.393741,-6970.253927
-558.144326,-6971.222323
-557.891498,-6972.189834
-557.635260,-6973.156447
-557.375616,-6974.122151
-557.112568,-6975.086933
-556.846120,-6976.050782
-556.576276,-6977.013685
-556.303038,-6977.975631
-556.026410,-6978.936608
-555.746396,-6979.896603
-555.462998,-6980.855605
-555.176221,-6981.813602
-554.886068,-6982.770581
-554.592542,-6983.726532
-554.295648,-6984.681442
-553.995389,-6985.635299
-553.691768,-6986.588091
-553.384790,-6987.539807
-553.074458,-6988.490435
-552.760776,-6989.439963
-552.443748,-6990.388378
-552.123378,-6991.335670
-551.799670,-6992.281827
-551.472628,-6993.226836
-551.142257,-6994.170687
-550.808559,-6995.113366
-550.471539,-6996.054863
-550.131203,-6996.995166
-549.787552,-6997.934263
-549.440593,-6998.872143
-549.090329,-6999.808794
-548.736765,-7000.744203
-548.379905,-7001.678361
-548.019753,-7002.611254
-547.656314,-7003.542871
-547.289593,-7004.473202
-546.919594,-7005.402233
-546.546321,-7006.329954
-546.169780,-7007.256354
-545.789975,-7008.181419
-545.406910,-7009.105140
-545.020591,-7010.027505
-544.631022,-7010.948502
-544.238208,-7011.868119
-543.842154,-7012.786346
-543.442865,-7013.703170
-543.040346,-7014.618581
-542.634602,-7015.532568
-542.225638,-7016.445117
-541.813458,-7017.356220
-541.398069,-7018.265863
-540.979475,-7019.174036
-540.557682,-7020.080727
-540.132694,-7020.985926
-539.704517,-7021.889620
-539.273157,-7022.791799
-538.838619,-7023.692452
-538.400907,-7024.591567
-537.960028,-7025.489133
-537.515987,-7026.385139
-537.068790,-7027.279574
-536.618441,-7028.172426
-536.164948,-7029.063685
-535.708315,-7029.953339
-535.248547,-7030.841378
-534.785652,-7031.727791
-534.319634,-7032.612565
-533.850499,-7033.495691
-533.378254,-7034.377158
-532.902903,-7035.256954
-532.424453,-7036.135068
-531.942911,-7037.011490
-531.458281,-7037.886209
-530.970569,-7038.759213
-530.479783,-7039.630492
-529.985928,-7040.500036
-529.489010,-7041.367833
-528.989035,-7042.233872
-528.486010,-7043.098143
-527.979941,-7043.960636
-527.470834,-7044.821338
-526.958695,-7045.680240
-526.443531,-7046.537331
-525.925348,-7047.392601
-525.404153,-7048.246037
-524.879952,-7049.097631
-524.352751,-7049.947372
-523.822558,-7050.795248
-523.289379,-7051.641249
-522.753220,-7052.485366
-522.214088,-7053.327587
-521.671989,-7054.167901
-521.126932,-7055.006299
-520.578921,-7055.842770
-520.027965,-7056.677303
-519.474070,-7057.509889
-518.917242,-7058.340517
-518.357490,-7059.169176
-517.794819,-7059.995856
-517.229237,-7060.820547
-516.660750,-7061.643239
-516.089366,-7062.463922
-515.515093,-7063.282585
-514.937936,-7064.099217
-514.357903,-7064.913810
-513.775002,-7065.726353
-513.189240,-7066.536835
-512.600624,-7067.345247
-512.009161,-7068.151578
-511.414858,-7068.955819
-510.817724,-7069.757960
-510.217765,-7070.557990
